City,Max Price,Mean Price,Min Price
Austin,38143.0,254.33203434610303,1.0
Chicago,99998.0,190.22653456947222,7.0
Columbus,1673.0,150.63998946952745,9.0
Dallas,30000.0,206.10363435185974,9.0
Denver,99713.0,277.81892620740376,17.0
Los Angeles,99999.0,285.35586613582984,5.0
New York,100000.0,196.84146307686734,0.0
San Diego,99301.0,299.6266362655483,0.0
San Francisco,50000.0,279.76432526397116,10.0
Seattle,10000.0,184.9784131793221,10.0
